Name,What do you think is causing the UMEs in the Indian River lagoon,Species selected,Why do you think [species] is the most important to focus on?,Hypothesis?,Rationale for choosin hypothesis,How can I test my hypothesis?,Test1,Test1look_for,Test1conclusion_text,Test2,Test2look_for,Test2conclusion_text,Test3,Test3look_for,Test3conclusion_text,Test4,Test4look_for,Test4conclusion_text,Test5,Test5look_for,Test5conclusion_text,What observations did you make that supported your hypothesis?,What observations did you make that would support another hypothesis?,Do you think your hypothesis was supported or refuted?,Why?,What can you conclude about the cause of the UME in [species]?,Do you think this is specific to [species]?,Why is it specific or not to [species]?,Do you think that the cause of the UME is the same or different in the Indian River Lagoon and along the East Coast?,Why is it the same or different?
1031623 (49),An increase of animals death.,Manatees,Because of their size,Can a manatee blend in with its surroundings?,To see if a manatee will blend in.,By surrounding a manatee by something the same color and size.,Necropsy of Affected Manatees,An object that's big and gray (ROCK), Conclusions:No,Look for Invasive Species,manatee, Conclusions:No,Analyze Water Quality,saltwater," Do you think water quality is contributing to the UME?I think it will contribute salinity, dissolved oxygen, water clarity, and pH.",,,,,,,,N/A,That a manatee can blend in with big gray rocks,"""Refuted""",I think my hypothesis was refuted because based off my hypothesis I didn't find my answer.,Manatees are dying out,yes,Water Quality,Yes,Both animals were dying out
1021012 (50),pollution and toxic chemicals in the river.,Bottlenose Dolphins,because its such a rare species to find in the marine life.,"If the Unusual Mortality Event continues, then the popularity of Bottlenose Dolphins will decrease.",that the Bottlenose dolphins population will decrease if the Unusual Event continues.,"Make two test groups, one with Bottlenose Dolphins in clean water and the other group with Bottlenose Dolphins in toxic water and wait over a period of one week to see if my hopothesis is correct.",Analyze Water Quality,any toxic chemicals that may have took affect upon the popularity of Bottlenose Dolphins., Do you think water quality is contributing to the UME?yes i do,,,,,,,,,,,,,,I observed that the water that the bottlenose Dolphins habitat in contains salt water.,"They live in salt water, the amount of seagrass is decreasing.",Supported,Because now i have evidence that by the information i collected the bottlenose Dolphins population are decreasing because the amount of seagrass is decreasing.,Seagrass is a huge factor,It could very much be for other species as well depending on if they live off of seagrass or not.,"it is specific because Dolphins survive off of seagrass and without it, there going to become extinct.",every place is different,because different areas have different effects.
1022801 (51),I think the number of animals exceeds the number of resources so the deaths is natures way of equaling its out,Bottlenose Dolphins,Because of its nose ,I think the dolphins are dying because they have a limited supply of resources. ,because it just my opinion ,I would count how much fish lives in the area ,Look for Invasive Species,God," Do you think invasive species are contributing to the UME? Why?Yes, because its taking resources from the dolphins ",Look for Invasive Species,Does it contain the same toxants that were found in the dolphins.," Do you think invasive species are contributing to the UME? Why?Yes, because its taking resources from the dolphins ",,,,,,,,,,,,,,,,,,,
1024383 (52),Biotin ,Manatees,Their size and how they look.,"If the Manatees is to big, then it causing a problem for others species",I choose this hypothesis because it causing the problem,I would like test my hypothesis with a chart or graph,Necropsy of Affected Manatees,I would look for any bacteria, Conclusions:refuted,Analyze Water Quality,salt water, Do you think water quality is contributing to the UME?yes,,,,,,,,,,,That my hypothesis is wrong,That my hypothesis is wrong,refuted,refuted,I would look for any bacteria,To other species,I would look for any bacteria,I would look for any bacteria,I would look for any bacteria
2009609 (53),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009192 (54),bitoxin,Bottlenose Dolphins,Because The are very smart animals,The Bottlenose Dolphins will survive in a different body(lake or River) of water then there usually in.,because they are used to the ocean.,By putting them in a different body of water,Necropsy of Affected Dolphins,how the dolphins react in a different environment , Conclusions:Refuted ,Analyze Water Quality,how the dolphins react in a different environment water, Do you think water quality is contributing to the UME?The water could affect the dolphins.,,,,,,,,,,,the dolphins can adapt to another body of water but it comes with consequence.,none,refuted,refuted,they need to stay in their original habitat. ,yes,because it affect the way the dolphins live.,yes,both animals will be affected
1008658 (55),i think what cause unusual mortality events in the Indian river lagoon was biotoxin ,Bottlenose Dolphins,they are the most important focus because they are smart creatures ,my hypothesis is that bottlenose dolphin will be on the edge of extinction ,because people are always catching them to use theme as an act for other people ,by seeing how many dolphin are use for entertainment ,Necropsy of Affected Dolphins,how long they live , Conclusions:nothing really ,,,,,,,,,,,,,,looked on the internet to see how  the animals live in the wild ,how smart the mammal really is ,enter supported ,because i read this articular and it told me how smart the mammals are ,they are very smart and the have a long life spans ,other species as well ,it is not specific ,yes ,both are dealing wityh rivers 
1057434 (56),"An increased number of bottlenose dolphins (Tursiops truncatus) mortalities were reported in the Indian River Lagoon (IRL), Florida, from May 3, 2008, to the present.",Bottlenose Dolphins,"because they are The Cove, has done a great deal to raise awareness of these hunts, but what is even more important is what happens after The Cove, and the longer term work that is required to change perceptions and attitudes within Japan.",..,..,..,Look for Invasive Species,close water, Do you think invasive species are contributing to the UME? Why?yes,Necropsy of Affected Dolphins,dolphins, Conclusions:...,,,,,,,,,,,..,..,..,..,..,..,...,..,..
1022910 (57),pollution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2034301 (58),I say that its the death of animals thats causing this unusual mortaility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2050540 (59),it's ok,Bottlenose Dolphins,they forus on living and suirve ,idk,idk,idk,Necropsy of Affected Dolphins,a mixer, Conclusions:nothing really,Investigate Algal Blooms,idk, Do you think algal blooms are contributing to the UME?yes i do ,,,,,,,,,,,i made alot,i learn things new bout dolphins,idk this answer,idk this anser ,dolphins are nice ,idk,idk,,
1057671 (60),"The Indian River Lagoon is one of the most diverse estuary ecosystems in the United States containing over 4,000 different species of which 34 are listed as threatened or endangered.",Manatees,they belong to herbivorous,there may be more manattess their birth willl increase,just a thought ,study more about the stduys,Look for Invasive Species,search invasive species," Do you think invasive species are contributing to the UME? Why?yes , because it is",Look for Invasive Species,start a route to finding them, Do you think invasive species are contributing to the UME? Why?im not sure,Necropsy of Affected Manatees,infected mantees, Conclusions:refuted,Investigate Algal Blooms,algal, Do you think algal blooms are contributing to the UME?no,Analyze Water Quality,close water, Do you think water quality is contributing to the UME?yes,,my thoughts,research,neither,supported,the difficulty of it,others as well,its not,its kind of the same,because of the choices withen it
2057062 (61),boitoxic ,Bottlenose Dolphins,because they use most of their brain,i think they die because of exposure to pollutants and biotoxins,i picked that one because biotoxin is the second largest threat to everything,by putting one dolphin in testing enviornment and the other one in an open enviornment,Necropsy of Affected Dolphins,i would look for for how their lungs turned out and to see if they were polutated , Do you think water quality is contributing to the UME?because the water isnt as clean as it seems,,,,,,,,,,,,,,none,none,refuted,because they mostly died of natural causes ,i dont know,i dont know,i dont know,,
1057702 (62),I think the Dolphins have something to do with the death of these animals.,Bottlenose Dolphins,Dolphins are already endangered animals so I would think they were important to focus on.,Do the dolphins have anything to do with the causing of the animals in the lagoon?,I think the Dolphins might be the cause of this.,First i would look up more research on this topic and then I would do an experiment. ,Necropsy of Affected Dolphins,See why the Dolphins Are affected or if the are the cause of it., Conclusions:That waste is causing the animals to die. Yes this helped my Hypothisis,Analyze Water Quality,what is going with the water, Do you think water quality is contributing to the UME?yes i do,,,,,,,,,,,that waste was rally causing the animal to die.,that we should try and fix the waste in the water,Supported ,Cause i was given the information i needed,we need to get them in a better environment ,yes,cause they are dying.,different,different because it was the waste
1024483 (63),unknown,Bottlenose Dolphins,They use the most of their brains.,"Bottlenose dolphins die because they get caught in fishing nets, the destruction of their habitat, or pollution.",I chose these things because they are the largest threats to this animal.,By observing dolphins that are in the wild and those that are in save environments.,Necropsy of Affected Dolphins,"Unusual chemicals, scars from things thrown in the ocean, etc.", Conclusions:My hypothesis was refuted. Most of these animals are okay and healthy.,Necropsy of Affected Dolphins,"Toxins in the body, unusual things in the body.", Conclusions:My hypothesis was refuted. Most of these animals are okay and healthy.,,,,,,,,,,,None,Some dolphins were suspected as positive for Morbillivirus. some dolphins were still normal and do not seem to be in harm.,Refuted,"According to the tests, not many of the dolphins were harmed.",The dolphins aren't really in harm.,Yes,"According to tests, only a certain amount of dolphins are actually harmed.",I think it is different.,Both areas are not the same.
2068551 (64),the population,Manatees,food,i dont know,i dont know,I DONT KNOW,Necropsy of Affected Brown Pelicans,i dont know, What information was the most striking? Is your hypothesis supported/refuted?supported,Look for Invasive Species,i dont know, Do you think invasive species are contributing to the UME? Why?i dont really know,Necropsy of Affected Brown Pelicans,i dont know], What information was the most striking? Is your hypothesis supported/refuted?i dont know,Necropsy of Affected Brown Pelicans,i dont know, What information was the most striking? Is your hypothesis supported/refuted?i dont know,Necropsy of Affected Brown Pelicans,i dont know, What information was the most striking? Is your hypothesis supported/refuted?idk,,,,,,,,,,
1022912 (65),pollution,Bottlenose Dolphins,they are most affected by the water which could be causing the deaths. theyre more emerged in the water and depend on it more.,the water is contamenated,marine life are dying,test the water and look at the bodies of the animals,Necropsy of Affected Dolphins,any damage to the body inside and out., Conclusions:no poisons. my hypothesis was refuted,Analyze Water Quality,cotamination of water, Do you think water quality is contributing to the UME?yes,,,,,,,,,,,mortality rates of marine life and damage to their bodies,the water changes temperatures rapidly,refuted,there were no contaminants found in the water,the temperature of the water,the bottlenose dolphin,the dolphins are in the water the most so theyll be more affected by this,same,ocean qualities are similar
1029179 (66),I think the main cause of unusual mortality is the river.  ,Manatees,Their the most important to focus on because of their living habitat.  ,Manatees are a unique animals.  ,The way i described the animal. ,I would test it by doing research animals. ,Necropsy of Affected Manatees,The animal. , Conclusions:The information was disturbing. ,Necropsy of Affected Manatees,I would look for information. , Conclusions:It was the results.,Look for Invasive Species,Information., Do you think invasive species are contributing to the UME? Why?No. Not enough information.,Seagrass Examination,Information.,"
                                                              What does this graph tell you:Its tells me about ther
                                                              Do you think the loss of seagrass is contributing to the unusual mortality event?information
                                                              Why?information
                                                              Since manatees eat over 100 pounds of seagrass everyday, other than loss of seagrass, how else could seagrass contribute to manatee deaths?information
                                                              How would you test to see if that is the cause?Information",Investigate Algal Blooms,information, Do you think algal blooms are contributing to the UME?information,Analyze Water Quality,information,information,neither,information,information,information,information,Yes,Because of the results. 
2009609a (67),high number of  threatened or endangered species,Manatees,"because they innocent animals who  re sometimes called sea cows, and their languid pace lends merit to the comparison. However, despite their massive bulk, they are graceful swimmers in coastal waters and rivers.", Do manatees in salt water need to drink fresh water?,my rationale for choosing this hypothesis is that i was interested in knowing how do they go about getting fre3sh water,i would like to test my hypothesis by seeing how would drinking the salt water effect manatees,Look for Invasive Species,does invasive species effect manatees," Do you think invasive species are contributing to the UME? Why?yes, i do think that invasive species are contributing to the unusual mortality event because Invasive species can wreck havoc on ecosystems where the exotic species can outcompete the native species resulting in decreased biodiversity.",Analyze Water Quality,how does drinking salt water affect manatees, Do you think water quality is contributing to the UME?yes because if the water if off balance then the whole marine life will be effected,,,,,,,,,,,how does water play a role in endangered manatees,Mystery Sea Creature Invading Indian River Lagoon,supportedd,because it agreed with my hypothesis,invasion species and water plays a big part in the endangered manatees,other as well,it is not specific to manatees because invasion species are a problem for more than just manatees,yes some of the same unusual mortality events take place in other rivers as well,same because they may have some of the same events taking place
2070968 (68),The cause of the unusual mortality events in the Indian river lagoon is Event (UME) has been declared for bottlenose dolphins in the Indian River Lagoon (IRL) System along ... ,Manatees,You will focus on what kind of water it lives in,"If it lives in shallow water, then it will live better. ",i dont know,By actually going where  they live and see,Seagrass Examination,See if it is low ,"
                                                              What does this graph tell you:It continues to grow
                                                              Do you think the loss of seagrass is contributing to the unusual mortality event?Yes. 
                                                              Why?i dont really have an asnwer
                                                              Since manatees eat over 100 pounds of seagrass everyday, other than loss of seagrass, how else could seagrass contribute to manatee deaths?it can grow
                                                              How would you test to see if that is the cause?by testing the hypothesis",Necropsy of Affected Manatees,Affected mannatees, Conclusions:That mannatees are dting,Investigate Algal Blooms,Algal blooms, Do you think algal blooms are contributing to the UME?Yes,,,,,,,,That mannatees are cool,That mannatees will leave,Supported,Cause its cool,I conclude they will live in shallow water, other species,it helps them,,
2034306 (69),the limit on supplies,Manatees,because of its back,i think that they are dying  because they rarely have food to eat,i chose this reason beacuse i  think that since they are at the bottom of the sea nonething really falls that low,calculate the amout of food thats in the sea,,,,,,,,,,,,,,,,,,,,,,,,,
1022801-2 (70),sdfgh,Bottlenose Dolphins,xgnfx,xgxsb,fbgxfb,fgbxgfg,,,,,,,,,,,,,,,,,I never found out ,I never found out ,I never found out ,I never found out ,I never found out ,I never found out ,I never found out ,,
1029617 (71),The declaration of a manatee. ,Manatees,Fish,Idk,Idk,Research first.,Look for Invasive Species,Idk, Do you think invasive species are contributing to the UME? Why?Yes,Necropsy of Affected Brown Pelicans,Brown Pelicans, What information was the most striking? Is your hypothesis supported/refuted?I cant remember.,Seagrass Examination,Green Grass,"
                                                              What does this graph tell you:How many acres of grass there is in each year.
                                                              Do you think the loss of seagrass is contributing to the UME?No
                                                              Why?idk
                                                              How would you test to see if that is the cause?Go Try",,,,,,,,Nothing,Nothing,Neither,Because it wasnt helpful.,Nothing,Nothing,Idk,Idk,Idk
103748 (72),the different species,Bottlenose Dolphins,because the are unique and different,my hypothesis is what are the dolphins fortale,because i like dolphins,go get research on the dolphins,Necropsy of Affected Dolphins,the dolphins, Conclusions:supported,,,,,,,,,,,,,,h,h,h,h,h,h,h,h,h
1026182 (73),There could possibly be serious pullotion in the lagoon.,Manatees,Because it was a huge decrease in manatees from June-July,If the manatees ,The ch,To visit the lagoon,Seagrass Examination,Any bacteria or life threating things that could be harmful to the manatees,"
                                                              What does this graph tell you:The grass was pretty equal for a while until 2009. The acres decreased tremendously 
                                                              Do you think the loss of seagrass is contributing to the unusual mortality event?Yes 
                                                              Why?They eat it everyday.
                                                              Since manatees eat over 100 pounds of seagrass everyday, other than loss of seagrass, how else could seagrass contribute to manatee deaths?Not sure
                                                              How would you test to see if that is the cause??",Analyze Water Quality,The cleanliness of water, Do you think water quality is contributing to the UME?Yes,Look for Invasive Species,How dangerous are the other species, Do you think invasive species are contributing to the UME? Why?Possibly.,,,,,,,,I didnt really have a lot of background info to make a legit hypothesis,I would look at the graphs they gave us in depth to give a clear hypothesis ,Refuted,I didnt have one,The manatees are endangered becasue of the decrease in seagrass and other major factors,It could apply to the other species that live in the same region of manatees,Maybe,Maybe,Different
1027138 (74),Abnormal locations and poor living conditions,Bottlenose Dolphins,because dolphins are important to ecosystems and they attract tourists.,I think bottle-nose dolphins are endangered because of poor living conditions and the food they eat.,I choose this hypothesis because aquatic ecosystems don't face as many threats as others.,i would like to test this hypothesis by doing research,Look for Invasive Species,spiecies that causes damage to the ecosystems., Do you think invasive species are contributing to the UME? Why?yes because they are native species and they differ from the non native species.,Necropsy of Affected Dolphins,spiecies that causes damage to the ecosystems., Conclusions:My hypothesis is supported because poor living conditions is a part  of endangered species.,,,,,,,,,,,the observation of poor water quality.,the observations of invasive species,supported,it was supported because poor living conditions is a part of endangered dolphins and poor water quality  is an example.,i can conclude that morality event plays a big role in animal endagered,it is concluded to many more species,because there can be a morality events in any species or ecosystem,,
1022945 (75),i dont know,Bottlenose Dolphins,because they are mammals,If you clean the ocean the dolphins will be safe,The ocean is dirty,clean the ocean and see if they live,Necropsy of Affected Dolphins,trash, Conclusions:refuted],Look for Invasive Species,invasive species, Do you think invasive species are contributing to the UME? Why?yea becaus ethey are like a poison,,,,,,,,,,,ieni8dne,jkdenqwipcn,qwejlcnweip, qwepxcm,knxcki,ck wek;,ce;nmw,nnnianiaioo,ioxmpqom
1010116 (76),I think pollution is the cause or a predator that eats them.,Manatees,"Its the most to focus on mainly because what it eats is in the water that may relate to the other specise dying off. i profoundly believe it can give a better incite on what and why the species such as dolphins, and mantee is dying off.",What food souce can contribute to the spread of the pollution?,Pollution is a main factor in the marine ecosytem so food sources that are in the polluted waters may spread the pollution to its prey.,I would test my hypothesis by putting a tracker on a fish and see how long in live in a certain part of water. The tracking device will then be transmitted by the bird in which i can see how long it survive after it cosumes the fish.,Look for Invasive Species,I would see what species live in the area and what the food source may be comparing the enviorment.," Do you think invasive species are contributing to the UME? Why?Yes because they are a part of the polluted area and a food source that other species m,ay cosume.",Analyze Water Quality,I would look for waste dumped in the water and the color of it in the polluted area., Do you think water quality is contributing to the UME?Water quality contribute to mortality events because it can affect food sources that the brown pelicans eat. If the fish is polluted then the brown pelican will become polluted.,,,,,,,,,,,I examined how water quality can affect the marine food sources. ,I made observations that can make invasive speices a factor in the mortality.,I think it was supported,It was supported because I was able to look at all the factors that could have been a problem and evaluated it and compared it.,"I can conclude that as long as pollution is in the water, then the  food sources it rely on will remain to transmit it.",Yes because it can be a effect.,It is specific because i was able to analyze it.,It is the same in the indian river Lagoon.,Its the same because pollution can cause problems in water quality and food resources.
1022602 (77),pollution,Bottlenose Dolphins,"i think it is the most important because they share a home in water with many other animals, so they should be the focus to stop it from spreading there first.","I think the cause of the ""Unusual Mortality Stimulation"" is pollution. ",It would explain why the animals die so quick and often.,Testing the area of water that has the highest death rate for dolphins.,Necropsy of Affected Dolphins,"I dont think i would find anything visible to the human eye. But if i look closer i may find parasites, bacteria, and etc.", Conclusions:The blood tests and no it is not.,,,,,,,,,,,,,,I did not make any observations that supported this hypothesis.,I found out that it could have been caused by invasive species.,Refuted,It was refuted because pollution was not involved.,i can conclude that pollution is not the cause of death.,I think it isn't specific to dolphins.,Because other animals die of pollution too,i think it is the same.,its the same because there is still an unusual mortality event.
1009633 (78),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026043 (79),it was a real crazy event ,Manatees,because there are not many in the world left ,is when you make a smart guess,what you think going to happen ,you do a exoeriment ,Investigate Algal Blooms,what do they need to eat, Do you think algal blooms are contributing to the UME?they are a big part for the  algal blooms,Necropsy of Affected Manatees,ggg, Conclusions:gmj,Seagrass Examination,dyjety,"
                                                              What does this graph tell you:they had over 70000
                                                              Do you think the loss of seagrass is contributing to the unusual mortality event?they lost alot of soil 
                                                              Why?really i dont
                                                              Since manatees eat over 100 pounds of seagrass everyday, other than loss of seagrass, how else could seagrass contribute to manatee deaths?the death rate went high
                                                              How would you test to see if that is the cause?on the data graph ",Analyze Water Quality,yea, Do you think water quality is contributing to the UME?yes thats what can happen,,,,,the facts,many other facts,it can really go both ,supported ,i dont know ,all together ,becasue they are really important ,hjujkwv,tgf5
2012616 (80),Chemicals in the water,Bottlenose Dolphins,Most of them are helpful,Which species are killed more often,Many of each species are dieng,Watch the river daily,Analyze Water Quality,how good the water is, Do you think water quality is contributing to the UME?yes,,,,,,,,,,,,,,the grass of the sea,the temperature of the water,supported,refuted because their was no evidence of them being able to die,i cant their wasnt enough evidence,yes,its specific becasuse they had evidence in the water,different,because they have different waters
1022089 (81),abnormal location,Bottlenose Dolphins,they are very important to the ecosystem,cause poor water quality and contamenated foods that they eat,aquatic ecosystems dosent face the same threats as the other ecosystems,i would do research on the bottlenose dolphins,Look for Invasive Species,spiecies that causes damage to the ecosystem.," Do you think invasive species are contributing to the UME? Why?yes because,they are native spiecies.",,,,,,,,,,,,,,,,,,,,,,
2068303 (82),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2049764 (83),"the number of animal deaths at a different time of year, abnormal location, or mortality rates significantly higher than previously unreported. ",Manatees,because they are living in the water,.,.,.,Look for Invasive Species,., Do you think invasive species are contributing to the UME? Why?.,Look for Invasive Species,huiohiohjiop, Do you think invasive species are contributing to the UME? Why?huioohho,,,,,,,,,,,,,,,,,,,
1021863 (84),"250 of these deaths occurred between June 2012 and June 2013, ",Bottlenose Dolphins,Bottlehouse Dolphin is the most important to focus on because the events that has been happening in the indian river lagoon,To find the usual stimulation between bottlenose dolphins,To found the usual mortality stimulation ,checking laggoon,Analyze Water Quality,to see if the water is clean and not polluted with wastes," Do you think water quality is contributing to the UME?Yes, because Appropriate levels of dissolved oxygen is a major problem in the Indian River Lagoon. Nutrients from agriculture or septic system failure result in algal blooms-after these algae die, they are eaten by bacteria in the lagoon which consume all of the available oxygen killing many aquatic organisms. ",Necropsy of Affected Dolphins,Necropsy," Do you think water quality is contributing to the UME?Yes, because Appropriate levels of dissolved oxygen is a major problem in the Indian River Lagoon. Nutrients from agriculture or septic system failure result in algal blooms-after these algae die, they are eaten by bacteria in the lagoon which consume all of the available oxygen killing many aquatic organisms. ",Investigate Algal Blooms,algal blooms, Do you think algal blooms are contributing to the UME?es because they produce a dangerous marine toxin because of the blocking from the sea grass,,,,,,,,The Algal Blooms,The Water Quality,supported,Because they were both causes of the usual stimulations,The Water quality because of if there be less oxygen ,yes,because dolphins be in the water ,no,no
1031215 (85),im not sure,Manatees,because they are rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009633a (86),the daeaths,Manatees,focus on their pray,that the animal is an slow animal,because they look slow,make it run,Seagrass Examination,you will look for things that stands out.,"
                                                              What does this graph tell you:decreased over the years
                                                              Do you think the loss of seagrass is contributing to the UME?no
                                                              Why?because its not 
                                                              How would you test to see if that is the cause?try out the experiment",,,,,,,,,,,,,,,,,,,,,,
2001998 (87),i think that the inecous diseases kause that,Manatees,because they help the ocean in many differnt ways,that they would become extinct soon or die out,because there is a sicintific drastic rise in their sickness and death,by going and reseraching hw they act\,Look for Invasive Species,how they go in the habitate , Do you think invasive species are contributing to the UME? Why?yes because they a may or may not be use to the other species who they are sharing their habitate space with,,,,,,,,,,,,,,,,,,,,,,
1021279 (88),Oil from Mexico Bay,Bottlenose Dolphins,Because they are our underworld and without them it wouldn't be the same,Oil spill,Ship could have spilled oil,Look on news reports about recently oil spills,Analyze Water Quality,Oil,"
                                                              What does this graph tell you:It tells how many acres of seagrass every mapping year
                                                              Do you think the loss of seagrass is contributing to the unusual mortality event?Yes 
                                                              Why?Because the older the years get the less the grass then not all dolphins can eat so most die  
                                                              How would you test to see if that is the cause?Go to the under world in the river and look for myself",Look for Invasive Species,crazy species under water, Do you think invasive species are contributing to the UME? Why?Yes ,,,,,,,,,,,Some ship could have spilled oil,i dont know,supported,because what i said could be true,that the dolphins didnt eat enough,any underwater animals that eat grass,so that they know that they have to eat, , 
2054615 (89),infectious diseases,Bottlenose Dolphins,i like to get information about dolphins,do bottlenose dolphins have a bottle shaped nose ?,i dont believe that the nose on the dolphin is shaped like an actual bottle,place a bottle next to a bottlenosed dolphin and she if they are the same,Necropsy of Affected Dolphins,i will look for how does it affect dolphins, Conclusions:yes my hypothesis is supported,Necropsy of Affected Dolphins,how does necropsy affect dolphins, Conclusions:the bloodtest and hypothesis was not supported,,,,,,,,,,,,,,,,,,,
2027649 (90),I believe the Indian River lagoon is being polluted by human and the water isnt as clean as it should be so therefore the creatures arent living as long.,Bottlenose Dolphins,i think it is more important because they would be most affected because they are already in dangered species,I think the dolphin will become extinct if we dont try harder to save,Dolphins are already at risk sop we must do something,I would like everyone to come together and help save the dolphins,Necropsy of Affected Dolphins,We look for effected organs and strange looking things, Conclusions:The information that is most striking is the fact that the interbnal exam came u normal...My hypothesis was wrong,Analyze Water Quality,Polluted Water, Do you think water quality is contributing to the UME?I do not think water quality is contributing to morality events ,,,,,,,,,,,..,..,..,..,..,..,..,..,..
1010344 (91),Pollution,Bottlenose Dolphins,They are dying off more.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101502 (92),"I believe that the Indian River lagoon is polluted and done by humans. So therefore when certain animals have their babies, the babies will be full of bio toxic waste and very unhealthy.",Bottlenose Dolphins,I think they should focus more on Bottlenose Dolphins because the risks of being in that water in numberless and we need dolphins for plenty of things.,My hypothesis is that we should get a group of people from different schools and clean out the deep sea for Bottlenose dolphins to live better.,To give the Bottlenose dolphins a better place to live.,I would like to test my hypothesis. ,Necropsy of Affected Dolphins,"Affected orgins, nuclear watse, affected species "," Conclusions:Th information that was striking to me was that ""No presence of any dangerous algal toxins or poisoning by industrial waste."" My hypothesis is refuted? ",Look for Invasive Species,"Animals with diseases, harmful things", Do you think invasive species are contributing to the UME? Why?....,,,,,,,,,,,.....,......,......,......,.....,.....,.....,.....,.......
1013992 (93),"I think what could be causing the unusual mortaility events in the Indian River Lagoon, could be a mixture of different things. Such as, the food supply of the Manatee's could be depleting for them, or ecosystem they're living in is getting polluted.",Manatees,"I think the Manatee's are more important, because the way their body structure is compared to the other two animals, they're very capable of obtaining they're own food, while the Manatees are less capable.",I think manatees are going to die off more quicker than the other two species,"I chose this hypothesis, because Manatees aren't very flexible compared to the other animals. Nor do they have the exact abilities.",I would like to test this hypothesis by observing and comparing the brown pelican/bottlenose dolphin to the Manatees,Necropsy of Affected Manatees,Is the population of Manatee's more or less to the other two species, Conclusions:I would say the internal exam was most striking of all. And I would have to say my hypothesis was supported/refuted.,Seagrass Examination,I would search for any contamination to the Seagrass in the Lagoon,"
                                                              What does this graph tell you:What this tells me, is that for the past 12 years the Manatees have had a strong food supply in the Lagoon. But for the past two years their food supply has been decreasing rapidly to the point there's nothing left for them to eat anymore.
                                                              Do you think the loss of seagrass is contributing to the unusual mortality event?Yes, yes it is
                                                              Why?Because with the rapid loss of food for the Manatees they're life spans will continue to decrease.
                                                              Since manatees eat over 100 pounds of seagrass everyday, other than loss of seagrass, how else could seagrass contribute to manatee deaths?this can contribute to the Manatee's death, because if they eat 100 pounds of seagrass everyday that's alot of food. And if they continue to eat that much everyday they're body's won't be able to contain it anymore.
                                                              How would you test to see if that is the cause?By observing the Manatee's eating over period of time,and analyze the body to see if it's been decreasing in body function or overfilled.",,,,,,,,,,,That the Mantees in fact were going to die quicker than the other two species,none ,"""Supported""","Because, when I read that the Manatees were eating over 100 pounds of seagrass everyday I knew that they're species would die off more faster","That the lack of seagrass supply is the cause, while they're eating habits is the cause as well",To the Manatee alone,"It's specific to the manatees, because i made my hypothesis purely off ot the manatees alone ",I would think it could be the same,It could be the same/different because every animal doesn't have the same eating habits while other external things could be the cause of un-normal deaths for the animals species 
1010779 (94),I think pollution.,Bottlenose Dolphins,I feel that dolphins are very important to focus on because they are like human in many ways.  Understanding and studying dolphins could help us  explain why humans do certain things.,I think that Dolphins will be saved.,I choose this hypothesis because I think with a lot more money and time in the hands of  scientisits will help save these Dolphins.,I would like to see more money and time in the hands of scientists.,Look for Invasive Species,i am not sure what this is., Do you think invasive species are contributing to the UME? Why?Not sure what this means.,,,,,,,,,,,,,,,,,,,,,,
1010344a (95),I already answered,Bottlenose Dolphins,I already answered,I already answered,I already answered,I already answered,Necropsy of Affected Dolphins,Cause of Death, Conclusions:Refluted,,,,,,,,,,,,,,Nothing,That dophins might be dying because of lack of food,Refluted,Mines had nothing to do with what I learned,Lack of Food,Dophins alone,Because only the dolphins prey is dying off,Different,Because they are two different locations so its two different types of causes
1018269 (96),"It could come from global warming. A higher amount of deaths occurred in the Indian River Lagoon during the summer months, where it is much hotter, Human activity and bio-toxin could both contribute to this factor. ",Bottlenose Dolphins,"Bottlenose Dolphins have one of the highest death rates. Despite being distributed worldwide, these mammals face the threat of being directly harvested, injured, viral outbreaks and exposure to pollutants and bio toxins. Their species should be saved because we play a role in some of their unfortunate deaths. They actually interact well with humans only to be found endangered by us.",The majority of human activity plays a major role in the deaths of Bottlenose Dolphins.,"Threats include: incidental injury and mortality from fishing gear, such as gillnet, seine, trawl, and longline commercial and recreational operations exposure to pollutants and biotoxins viral outbreaks direct harvest, in Japan and Taiwan",Study data trends involving the difference between bottlenose dolphins in the wild versus those in aquariums; if possible.,Necropsy of Affected Dolphins,"Consumption of debris or chemicals, injuries, ", Conclusions:Refuted/ I can't determine what's causing the dolphins to become sick and die off.,Analyze Water Quality,"Temperatures, Present Waste, Pollution, Activity"," Do you think water quality is contributing to the UME?Yes, the change in temperature could possibly cause the pneumonia. The lack of cleanliness of the water is also harmful.",,,,,,,,,,,,,,,,,,,
